Phone timestamp;HR [bpm];HRV [ms];Breathing interval [rpm];
2026-03-25T18:46:35.620;126;1,8
2026-03-25T18:46:36.574;125;1,9
2026-03-25T18:46:37.542;125;1,6
2026-03-25T18:46:38.973;124;1,9
2026-03-25T18:46:39.924;124;1,8
2026-03-25T18:46:40.898;123;1,8
2026-03-25T18:46:41.849;122;2,1
2026-03-25T18:46:42.813;121;2,4
2026-03-25T18:46:43.772;120;2,3
2026-03-25T18:46:44.730;119;2,2
2026-03-25T18:46:45.702;119;2,2
2026-03-25T18:46:46.652;119;2,2
2026-03-25T18:46:47.610;119;2,2
2026-03-25T18:46:48.573;119;2,5
2026-03-25T18:46:49.541;120;2,5
2026-03-25T18:46:50.979;120;2,6
2026-03-25T18:46:51.894;121;2,7
2026-03-25T18:46:52.854;122;2,6
2026-03-25T18:46:53.852;122;2,6
2026-03-25T18:46:54.816;122;2,7
2026-03-25T18:46:55.774;122;2,7
2026-03-25T18:46:56.732;121;2,6
2026-03-25T18:46:57.697;120;2,2
2026-03-25T18:46:59.131;120;2,3
2026-03-25T18:46:59.573;121;2,6
2026-03-25T18:47:00.573;121;2,6
2026-03-25T18:47:01.530;122;2,6
2026-03-25T18:47:02.976;122;2,4
2026-03-25T18:47:03.934;121;2,5
2026-03-25T18:47:04.843;120;2,5
2026-03-25T18:47:05.852;119;2,9
2026-03-25T18:47:06.813;118;2,8
2026-03-25T18:47:07.772;117;2,8
2026-03-25T18:47:08.728;118;2,8
2026-03-25T18:47:09.689;118;2,7
2026-03-25T18:47:10.653;118;3,0
2026-03-25T18:47:11.614;118;3,3
2026-03-25T18:47:13.527;118;3,3
2026-03-25T18:47:13.528;117;3,1
2026-03-25T18:47:15.452;117;3,2
2026-03-25T18:47:15.893;115;3,6
2026-03-25T18:47:16.897;114;3,6
2026-03-25T18:47:17.855;113;3,7
2026-03-25T18:47:20.259;112;3,6
2026-03-25T18:47:20.260;113;3,7
2026-03-25T18:47:20.692;113;3,4
2026-03-25T18:47:21.691;115;3,5
2026-03-25T18:47:22.651;116;4,2
2026-03-25T18:47:23.646;117;4,4
2026-03-25T18:47:24.516;119;4,5
2026-03-25T18:47:25.477;121;4,3
2026-03-25T18:47:26.916;122;4,1
2026-03-25T18:47:27.877;123;4,1
2026-03-25T18:47:28.852;124;4,1
2026-03-25T18:47:29.824;126;3,8
2026-03-25T18:47:30.773;126;3,7
2026-03-25T18:47:31.771;127;3,7
2026-03-25T18:47:32.740;128;3,7
2026-03-25T18:47:33.637;128;3,7
2026-03-25T18:47:34.611;129;3,6
2026-03-25T18:47:35.619;130;3,5
2026-03-25T18:47:36.518;130;2,7
2026-03-25T18:47:37.524;131;2,3
2026-03-25T18:47:38.917;131;2,0
2026-03-25T18:47:39.907;131;2,0
2026-03-25T18:47:40.895;132;1,8
2026-03-25T18:47:41.853;132;1,8
2026-03-25T18:47:43.769;132;1,7
2026-03-25T18:47:43.770;132;1,4
2026-03-25T18:47:44.684;133;1,6
2026-03-25T18:47:45.692;133;1,5
2026-03-25T18:47:46.659;133;1,4
2026-03-25T18:47:47.579;133;1,0
2026-03-25T18:47:48.574;134;1,1
2026-03-25T18:47:49.532;134;1,1
2026-03-25T18:47:50.975;135;1,2
2026-03-25T18:47:51.933;136;1,3
2026-03-25T18:47:52.889;137;1,3
2026-03-25T18:47:54.813;138;1,4
2026-03-25T18:47:54.814;138;1,4
2026-03-25T18:47:55.772;139;1,4
2026-03-25T18:47:56.731;139;1,4
2026-03-25T18:47:57.695;140;1,5
2026-03-25T18:47:58.659;141;1,4
2026-03-25T18:47:59.624;141;1,5
2026-03-25T18:48:00.575;142;1,5
2026-03-25T18:48:01.531;143;1,4
2026-03-25T18:48:02.971;144;1,5
2026-03-25T18:48:03.934;144;1,4
2026-03-25T18:48:04.855;144;1,3
2026-03-25T18:48:05.815;144;1,2
2026-03-25T18:48:06.819;144;1,2
2026-03-25T18:48:07.777;144;1,2
2026-03-25T18:48:09.175;144;1,2
2026-03-25T18:48:09.654;144;1,1
2026-03-25T18:48:10.652;144;1,1
2026-03-25T18:48:11.621;145;1,1
2026-03-25T18:48:13.016;145;1,2
2026-03-25T18:48:13.544;146;1,2
2026-03-25T18:48:14.920;146;1,3
2026-03-25T18:48:17.373;147;1,3
2026-03-25T18:48:17.374;147;1,3
2026-03-25T18:48:17.848;148;1,3
2026-03-25T18:48:18.813;148;1,3
2026-03-25T18:48:19.788;148;1,3
2026-03-25T18:48:20.731;148;1,3
2026-03-25T18:48:21.688;148;1,3
2026-03-25T18:48:22.645;148;1,2
2026-03-25T18:48:23.559;149;1,2
2026-03-25T18:48:24.570;149;1,2
2026-03-25T18:48:26.022;149;1,3
2026-03-25T18:48:26.973;149;1,2
2026-03-25T18:48:27.927;150;1,1
2026-03-25T18:48:29.857;149;1,1
2026-03-25T18:48:29.858;150;1,1
2026-03-25T18:48:30.815;150;1,1
2026-03-25T18:48:31.776;150;1,1
2026-03-25T18:48:32.734;149;1,1
2026-03-25T18:48:33.694;149;1,1
2026-03-25T18:48:35.616;149;1,0
2026-03-25T18:48:35.617;149;1,1
2026-03-25T18:48:36.572;149;1,2
2026-03-25T18:48:38.495;149;1,2
2026-03-25T18:48:38.935;149;1,1
2026-03-25T18:48:39.905;150;1,3
2026-03-25T18:48:40.896;150;1,3
2026-03-25T18:48:41.854;151;1,4
2026-03-25T18:48:42.814;151;1,4
2026-03-25T18:48:43.776;151;1,4
2026-03-25T18:48:44.730;151;1,4
2026-03-25T18:48:46.172;151;1,4
2026-03-25T18:48:46.657;151;1,4
2026-03-25T18:48:47.615;151;1,3
2026-03-25T18:48:48.575;152;1,1
2026-03-25T18:48:49.534;151;1,1
2026-03-25T18:48:50.972;151;1,0
2026-03-25T18:48:51.935;150;1,0
2026-03-25T18:48:52.889;150;1,0
2026-03-25T18:48:54.815;150;0,8
2026-03-25T18:48:54.816;149;0,9
2026-03-25T18:48:55.774;149;0,9
2026-03-25T18:48:56.732;149;0,9
2026-03-25T18:48:57.693;149;0,9
2026-03-25T18:48:58.665;149;1,0
2026-03-25T18:48:59.612;148;1,4
2026-03-25T18:49:00.573;148;1,5
2026-03-25T18:49:01.536;149;1,5
2026-03-25T18:49:02.977;149;1,5
2026-03-25T18:49:03.934;149;1,4
2026-03-25T18:49:04.896;149;1,4
2026-03-25T18:49:05.851;149;1,4
2026-03-25T18:49:06.816;149;1,4
2026-03-25T18:49:07.775;149;1,4
2026-03-25T18:49:09.697;149;1,4
2026-03-25T18:49:09.698;149;1,4
2026-03-25T18:49:10.658;149;1,1
2026-03-25T18:49:11.611;149;0,9
2026-03-25T18:49:12.574;149;0,7
2026-03-25T18:49:13.542;149;0,6
2026-03-25T18:49:15.453;148;0,8
2026-03-25T18:49:15.894;148;0,9
2026-03-25T18:49:16.893;148;1,1
2026-03-25T18:49:19.291;148;1,4
2026-03-25T18:49:19.736;148;1,3
2026-03-25T18:49:19.738;148;1,4
2026-03-25T18:49:21.217;147;1,4
2026-03-25T18:49:21.655;147;1,4
2026-03-25T18:49:22.656;146;1,4
2026-03-25T18:49:23.617;147;1,4
2026-03-25T18:49:25.534;147;1,5
2026-03-25T18:49:25.535;146;1,6
2026-03-25T18:49:27.453;145;1,5
2026-03-25T18:49:27.933;145;1,5
2026-03-25T18:49:28.895;144;1,6
2026-03-25T18:49:29.856;143;1,3
2026-03-25T18:49:30.815;142;1,3
2026-03-25T18:49:31.775;141;1,3
2026-03-25T18:49:32.735;141;1,3
2026-03-25T18:49:33.691;141;1,3
2026-03-25T18:49:34.660;142;1,5
2026-03-25T18:49:35.615;142;1,6
2026-03-25T18:49:37.055;143;1,6
2026-03-25T18:49:37.534;143;1,6
2026-03-25T18:49:38.979;144;1,6
2026-03-25T18:49:39.935;145;1,6
2026-03-25T18:49:40.892;145;1,7
2026-03-25T18:49:41.857;145;1,6
2026-03-25T18:49:42.821;146;1,6
2026-03-25T18:49:43.775;146;1,7
2026-03-25T18:49:44.737;146;1,7
2026-03-25T18:49:45.684;147;1,7
2026-03-25T18:49:46.652;147;1,6
2026-03-25T18:49:47.617;147;1,5
2026-03-25T18:49:48.577;147;1,4
2026-03-25T18:49:49.533;148;1,2
2026-03-25T18:49:50.974;147;1,2
2026-03-25T18:49:51.936;147;1,4
